사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-03,2호선,0229,봉천,100,12,"15,096","1,267","28,706","6,448","84,558","14,430","122,852","29,462","76,288","22,375","45,083","20,813","38,557","24,423","39,950","26,070","38,677","28,157","35,799","32,195","32,844","41,184","34,235","46,079","35,431","60,494","34,839","93,139","22,375","76,083","18,238","49,502","15,616","46,917","11,784","42,971","5,131","25,168",881,"8,002",1,647,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0230,신림,123,11,"35,753","3,696","67,749","18,253","182,846","29,808","268,094","45,601","166,733","46,082","97,134","43,570","80,420","47,232","86,629","52,957","80,972","61,452","75,094","68,035","72,373","85,691","78,267","104,194","81,546","142,006","83,117","224,519","58,461","197,148","49,455","133,239","46,449","126,056","39,038","117,067","21,888","72,829","4,502","23,433",4,547,0,0,0,0,2025-04-03 10:13:53
2025-03,2호선,0231,신대방,239,10,"23,578","1,878","35,447","9,233","91,539","14,349","130,915","24,866","83,301","18,692","48,025","18,429","39,405","20,016","39,482","22,571","38,226","26,809","32,485","30,642","31,387","41,081","33,258","48,489","34,160","63,786","32,166","93,076","21,001","81,233","16,158","57,435","13,169","60,488","10,220","55,256","4,908","32,583",904,"9,211",9,224,0,1,0,0,2025-04-03 10:13:54
2025-03,2호선,0232,구로디지털단지,308,16,"39,387","4,854","53,480","19,566","140,436","80,695","186,124","218,242","117,324","136,480","73,999","58,983","67,479","47,661","74,619","52,330","73,482","66,687","66,212","64,759","71,916","72,361","87,630","87,361","136,682","114,115","199,860","166,473","100,841","132,798","65,385","91,231","54,041","90,951","41,511","84,556","19,018","49,478","3,392","13,433",1,256,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0233,대림(구로구청),627,13,"35,886","3,279","30,228","10,472","68,508","22,328","96,640","52,987","65,379","36,353","43,372","34,922","38,301","39,298","39,589","35,739","39,026","35,668","37,555","36,376","37,972","45,439","39,853","54,067","46,078","64,188","51,501","71,621","26,957","52,933","19,800","41,764","15,288","50,414","11,134","46,595","5,432","23,035",724,"5,876",3,188,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0234,신도림,"4,169",12,"35,916","5,320","55,605","20,144","146,160","44,568","152,915","108,936","96,866","78,556","67,869","67,985","67,156","72,418","77,142","72,291","80,836","77,288","82,861","74,629","88,447","84,705","93,092","98,583","114,671","125,172","130,305","180,346","81,225","126,876","71,727","80,200","60,120","75,634","47,593","70,260","22,557","48,372","2,617","21,692",12,"2,579",0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0235,문래,9,1,"4,404","2,614","15,064","10,532","45,532","39,773","51,328","136,368","29,322","65,584","22,801","29,032","23,007","25,091","27,350","28,608","28,652","31,011","29,628","29,863","31,948","32,274","39,500","36,628","67,311","45,408","115,320","67,179","44,414","44,606","32,142","25,012","33,644","22,459","28,658","19,382","13,539","11,249","2,131","3,594",0,90,0,0,0,1,2025-04-03 10:13:53
2025-03,2호선,0236,영등포구청,52,1,"5,138","3,235","13,433","14,689","41,171","40,044","52,371","123,559","32,700","55,236","25,016","30,609","26,448","28,072","29,902","28,428","31,499","31,716","31,963","29,637","36,264","30,953","41,301","35,634","61,056","43,134","101,521","61,706","40,197","41,873","32,478","26,833","28,013","24,163","20,761","21,302","9,482","13,810","1,675","4,886",1,170,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0237,당산,35,8,"8,007","3,485","18,952","14,272","49,028","28,349","60,050","75,403","37,507","32,514","28,446","18,047","26,902","17,750","27,513","20,777","26,756","23,436","24,485","24,408","26,116","28,674","31,188","36,201","43,768","53,193","58,538","76,871","27,018","53,510","21,634","37,194","20,796","35,422","17,146","32,525","8,908","20,187","1,448","4,948",3,134,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0238,합정,144,17,"10,471","3,194","16,570","13,107","38,878","31,582","51,667","92,655","35,570","86,639","28,766","54,738","31,609","52,151","37,298","56,453","41,927","63,280","44,885","58,839","50,199","60,676","59,843","70,220","80,111","89,181","117,776","118,353","82,006","82,283","69,081","46,410","75,815","38,546","70,593","32,540","36,814","22,455","5,817","8,611",3,193,0,0,0,0,2025-04-03 10:13:54
